"","period","group","parameter","0.1","0.5","0.9"
"69","2010, 2015","Very high alert & High alert","arr",-0.903351677997668,1.23228997425977,3.07377119605208
"70","2010, 2015","Very high alert & High alert","percent_change_in_mmr",-4.6203172038123,5.97547172063349,14.2460947075828
"71","2010, 2015","Warning","arr",0.434811097802788,2.20314287284111,3.68275704108507
"72","2010, 2015","Warning","percent_change_in_mmr",2.15059148428634,10.4306628237731,16.8178871942421
"73","2015, 2020","Alert","arr",-1.11857681966111,1.57709371736321,3.2848317646603
"74","2015, 2020","Alert","percent_change_in_mmr",-5.7522443917805,7.582578968232,15.1462998648336
"75","2015, 2020","Elevated warning","arr",1.7368100122727,2.92103769769523,4.55214235252992
"76","2015, 2020","Elevated warning","percent_change_in_mmr",8.31766828016591,13.5887131922421,20.3562894434964
"77","2015, 2020","High warning","arr",1.82316861255875,3.1208959460205,4.29943910320283
"78","2015, 2020","High warning","percent_change_in_mmr",8.71269275862035,14.4479134607106,19.343593982667
"79","2015, 2020","Stable","arr",-3.7982102517682,-1.6800439104478,0.172260274337479
"80","2015, 2020","Stable","percent_change_in_mmr",-20.9141390515488,-8.76312824612603,0.857602793813164
"81","2015, 2020","Very high alert & High alert","arr",0.0670382905767028,2.21526335313219,3.98803014256178
"82","2015, 2020","Very high alert & High alert","percent_change_in_mmr",0.334626458759009,10.4849275209765,18.0779095713599
"83","2015, 2020","Warning","arr",-3.15711322804037,-1.13341146486393,0.460795559966442
"84","2015, 2020","Warning","percent_change_in_mmr",-17.0997164520071,-5.83071182827321,2.27763888023435
"85","2016, 2020","Alert","arr",-0.903285179334824,1.85484457257634,3.74505571708855
"86","2016, 2020","Alert","percent_change_in_mmr",-3.67920822080282,7.15082487748189,13.9121783312783
"87","2016, 2020","Elevated warning","arr",1.07822434448304,2.38408332753664,4.10540066148988
"88","2016, 2020","Elevated warning","percent_change_in_mmr",4.22121474039743,9.09574107897322,15.1441308639451
"89","2016, 2020","High warning","arr",1.80545543900575,3.13022375383415,4.3739748690314
"90","2016, 2020","High warning","percent_change_in_mmr",6.967214021001,11.7687475882906,16.0508556343002
"91","2016, 2020","Stable","arr",-4.38005185337272,-1.91843754537888,0.228859279992966
"92","2016, 2020","Stable","percent_change_in_mmr",-19.1486965822899,-7.97586045314482,0.911259682949105
"93","2016, 2020","Very high alert & High alert","arr",0.495797130210727,2.77306269379588,4.65266221240747
"94","2016, 2020","Very high alert & High alert","percent_change_in_mmr",1.9636518750119,10.4991897546707,16.9814813249114
"95","2016, 2020","Warning","arr",-4.93343943857834,-2.84421053546465,-1.14826334169473
"96","2016, 2020","Warning","percent_change_in_mmr",-21.8155196761532,-12.0492612784517,-4.70017132262892
