"","period","group","parameter","0.1","0.5","0.9"
"26","2010, 2020","AFR","percent_change_in_mmr",3.06236252747401,18.5948806515442,26.5498984117022
"27","2010, 2020","AMR","arr",-2.30635827503656,-1.2513242019392,-0.333354782559412
"28","2010, 2020","AMR","percent_change_in_mmr",-25.9400516921875,-13.3298520626748,-3.38973326357735
"29","2010, 2020","EMR","arr",0.72102340778713,2.6970046411941,4.24273055151284
"30","2010, 2020","EMR","percent_change_in_mmr",6.95643299130275,23.6391782401862,34.5754781180043
"31","2010, 2020","EUR","arr",0.441328713016627,1.59764052220642,2.62484947873825
"32","2010, 2020","EUR","percent_change_in_mmr",4.31731854046389,14.7655125877199,23.0862057514575
"33","2010, 2020","SEAR","arr",3.97523564845262,5.16721514167939,6.56174980650382
"34","2010, 2020","SEAR","percent_change_in_mmr",32.8017891927009,40.3527123984047,48.1167913281699
"35","2010, 2020","WPR","arr",-0.232314129525143,1.0399029228427,2.19026136387688
"36","2010, 2020","WPR","percent_change_in_mmr",-2.35033653794426,9.87659533310759,19.6699270702291
"37","2000, 2005","AFR","arr",1.30001405414874,2.45870891935651,3.44012357718704
"38","2000, 2005","AFR","percent_change_in_mmr",6.29331949178497,11.5679252500827,15.8026029187888
"39","2000, 2005","AMR","arr",0.759901589618832,1.35503341213329,1.88495764397675
"40","2000, 2005","AMR","percent_change_in_mmr",3.72823220492344,6.55074932767643,8.99428526820697
"41","2000, 2005","EMR","arr",1.68516945290495,3.69173491018759,5.59900236829962
"42","2000, 2005","EMR","percent_change_in_mmr",8.08063610076787,16.8552186791465,24.4178553048926
"43","2000, 2005","EUR","arr",4.28646497908826,5.36777735171418,6.53643907655257
"44","2000, 2005","EUR","percent_change_in_mmr",19.2912544391148,23.5389608874731,27.8787858911268
"45","2000, 2005","SEAR","arr",3.63903374738722,5.01260464344531,6.54944951251824
"46","2000, 2005","SEAR","percent_change_in_mmr",16.6358382576284,22.1689887602976,27.9256867211553
"47","2000, 2005","WPR","arr",2.87944053920409,3.91846966490187,5.08360211779105
"48","2000, 2005","WPR","percent_change_in_mmr",13.4088030065694,17.7924863736487,22.4447891858056
"49","2005, 2010","AFR","arr",0.0926813639747974,1.55885748461942,2.57229336044113
"50","2005, 2010","AFR","percent_change_in_mmr",0.462334734810801,7.49827326371789,12.0687272218806
"51","2005, 2010","AMR","arr",0.430317330627634,1.32624711165498,1.97701128095347
"52","2005, 2010","AMR","percent_change_in_mmr",2.12860514396772,6.41614956914119,9.41219311331829
"53","2005, 2010","EMR","arr",2.66739525577348,4.9929307821536,7.11187749550852
"54","2005, 2010","EMR","percent_change_in_mmr",12.4858562222913,22.0923891755059,29.9242842235916
"55","2005, 2010","EUR","arr",4.32240531504726,5.32046899585472,6.37416029341579
"56","2005, 2010","EUR","percent_change_in_mmr",19.436159267324,23.3578844926716,27.2912182523834
"57","2005, 2010","SEAR","arr",6.22114941202818,7.61974801563727,9.08848261304743
"58","2005, 2010","SEAR","percent_change_in_mmr",26.732823239306,31.6813502734446,36.5186567523373
"59","2005, 2010","WPR","arr",3.80880418617238,4.88827016272072,6.14800951588009
"60","2005, 2010","WPR","percent_change_in_mmr",17.3404821019615,21.6836277085901,26.4643950279778
"61","2010, 2015","AFR","arr",0.426159880630582,2.28229061344511,3.46416022452847
"62","2010, 2015","AFR","percent_change_in_mmr",2.10825825404085,10.7844228757725,15.9037332902413
"63","2010, 2015","AMR","arr",-0.189260279285419,0.552777076743183,1.33197778267505
"64","2010, 2015","AMR","percent_change_in_mmr",-0.950792993906937,2.72603954430852,6.44296064398602
"65","2010, 2015","EMR","arr",1.15354872548325,3.45043746008262,5.22380560511885
"66","2010, 2015","EMR","percent_change_in_mmr",5.60456162206165,15.8460116861092,22.9865635566667
"67","2010, 2015","EUR","arr",3.22424808785275,4.27247448202472,5.28735293587424
