"period","iso_alpha_3_code","parameter","0.1","0.5","0.9","estimate_version"
"2005, 2010","AGO","arr",5.08709723518002,7.92135777101322,10.9291574963027,"estimates_12-19-22"
"2005, 2010","AGO","percent_change_in_mmr",22.4583411923369,32.7038991932834,42.1002937466685,"estimates_12-19-22"
"2010, 2015","AGO","arr",2.81221933792627,5.78606883858854,9.01077951039192,"estimates_12-19-22"
"2010, 2015","AGO","percent_change_in_mmr",13.1172744723321,25.1215041826189,36.2715410312586,"estimates_12-19-22"
"2015, 2020","AGO","arr",1.17218089571237,4.29074826338439,7.49612466183363,"estimates_12-19-22"
"2015, 2020","AGO","percent_change_in_mmr",5.69245875849934,19.3085377739774,31.2577534181843,"estimates_12-19-22"
"2016, 2020","AGO","arr",1.64428846582014,4.95794833405777,8.25151563928787,"estimates_12-19-22"
"2016, 2020","AGO","percent_change_in_mmr",6.36552349414279,17.9890928344047,28.1119847643624,"estimates_12-19-22"
"2000, 2015","ATG","arr",1.98316551854589,4.32821181919411,6.77982501463606,"estimates_12-19-22"
"2000, 2015","ATG","percent_change_in_mmr",25.730868405826,47.7553018227872,63.8312034072091,"estimates_12-19-22"
"2000, 2020","ATG","arr",2.26686672401848,4.47591462717159,6.70431312633588,"estimates_12-19-22"
"2000, 2020","ATG","percent_change_in_mmr",36.451916278345,59.1467139099846,73.8380102725337,"estimates_12-19-22"
"2010, 2020","ATG","arr",0.594329416355182,3.81138606105355,6.70419447497305,"estimates_12-19-22"
"2010, 2020","ATG","percent_change_in_mmr",5.77012781594505,31.6916796349747,48.8506008804249,"estimates_12-19-22"
"2000, 2005","ATG","arr",5.39098495086899,8.103981607939,11.8445663727167,"estimates_12-19-22"
"2000, 2005","ATG","percent_change_in_mmr",23.6276331014742,33.3155957917694,44.6906554210919,"estimates_12-19-22"
"2005, 2010","ATG","arr",-1.30510896389826,2.27182233317012,5.62897976445214,"estimates_12-19-22"
"2005, 2010","ATG","percent_change_in_mmr",-6.74316630679188,10.7377139970251,24.5310581661208,"estimates_12-19-22"
"2010, 2015","ATG","arr",-1.03946446608651,2.69242155832565,6.0684511397796,"estimates_12-19-22"
"2010, 2015","ATG","percent_change_in_mmr",-5.3347547787494,12.5952955325286,26.1712934675865,"estimates_12-19-22"
"2015, 2020","ATG","arr",1.21546682000888,4.94156193425772,8.48409025520854,"estimates_12-19-22"
"2015, 2020","ATG","percent_change_in_mmr",5.89634499090082,21.8920308551171,34.5709942133413,"estimates_12-19-22"
"2016, 2020","ATG","arr",-3.82474986500845,0.0594039204665628,3.71514845526682,"estimates_12-19-22"
"2016, 2020","ATG","percent_change_in_mmr",-16.5313330661746,0.237333473925445,13.809129914104,"estimates_12-19-22"
"2000, 2015","ARG","arr",3.06950991538244,3.96047544038188,4.88654526391997,"estimates_12-19-22"
"2000, 2015","ARG","percent_change_in_mmr",36.8985531531044,44.7924968911473,51.9525820230016,"estimates_12-19-22"
"2000, 2020","ARG","arr",1.31054239849961,2.3106295607164,3.3444316664989,"estimates_12-19-22"
"2000, 2020","ARG","percent_change_in_mmr",23.0572448084097,37.0056982011246,48.7721225131139,"estimates_12-19-22"
"2010, 2020","ARG","arr",0.121543945498687,2.10588737770583,4.19778799841369,"estimates_12-19-22"
"2010, 2020","ARG","percent_change_in_mmr",1.20808275847356,18.9892835138456,34.2807825224113,"estimates_12-19-22"
"2000, 2005","ARG","arr",-0.217663814770018,2.64426779304366,4.91341258892638,"estimates_12-19-22"
"2000, 2005","ARG","percent_change_in_mmr",-1.09426280863843,12.3845987037995,21.7820188777282,"estimates_12-19-22"
"2005, 2010","ARG","arr",0.507663607970402,2.60632738823555,4.65362631992925,"estimates_12-19-22"
"2005, 2010","ARG","percent_change_in_mmr",2.50637354024467,12.218232765176,20.7593939505062,"estimates_12-19-22"
"2010, 2015","ARG","arr",4.79499255946194,6.77232653435057,8.9068121737579,"estimates_12-19-22"
"2010, 2015","ARG","percent_change_in_mmr",21.3175163525277,28.7244137858777,35.9393955449607,"estimates_12-19-22"
"2015, 2020","ARG","arr",-5.65147803538466,-2.74272950063426,0.712758162251641,"estimates_12-19-22"
"2015, 2020","ARG","percent_change_in_mmr",-32.6539808253399,-14.698467276843,3.50103439423304,"estimates_12-19-22"
"2016, 2020","ARG","arr",-5.96566084577271,-2.88224739599589,0.984432232662097,"estimates_12-19-22"
"2016, 2020","ARG","percent_change_in_mmr",-26.9504206995996,-12.2198711601989,3.86120664145089,"estimates_12-19-22"
"2000, 2015","ARM","arr",2.56507091819396,4.71359823496261,5.97309141455062,"estimates_12-19-22"
"2000, 2015","ARM","percent_change_in_mmr",31.9386467727818,50.6898249082092,59.1785991776286,"estimates_12-19-22"
"2000, 2020","ARM","arr",0.395927390956675,3.1437374052653,4.82352193950635,"estimates_12-19-22"
"2000, 2020","ARM","percent_change_in_mmr",7.61314050391493,46.6740452309787,61.8904155208392,"estimates_12-19-22"
"2010, 2020","ARM","arr",-2.2824431845528,2.29142242284015,4.68073869461975,"estimates_12-19-22"
"2010, 2020","ARM","percent_change_in_mmr",-25.639226121985,20.4784586903114,37.3792735469834,"estimates_12-19-22"
"2000, 2005","ARM","arr",2.81702987101948,5.89851352694229,7.58960063976393,"estimates_12-19-22"
"2000, 2005","ARM","percent_change_in_mmr",13.1381693052311,25.5413074153329,31.5782910874736,"estimates_12-19-22"
"2005, 2010","ARM","arr",-0.445632405995484,2.86390981585294,4.58524943698117,"estimates_12-19-22"
"2005, 2010","ARM","percent_change_in_mmr",-2.25317130351593,13.3415356967587,20.4880190442003,"estimates_12-19-22"
"2010, 2015","ARM","arr",2.16138854114803,5.91658572467105,7.76291200826069,"estimates_12-19-22"
"2010, 2015","ARM","percent_change_in_mmr",10.2434720490438,25.6085585868944,32.1686426347467,"estimates_12-19-22"
"2015, 2020","ARM","arr",-7.49572421994554,-1.21011285094392,2.19773144866344,"estimates_12-19-22"
"2015, 2020","ARM","percent_change_in_mmr",-45.4680423421762,-6.23735968660738,10.4064244304706,"estimates_12-19-22"
"2016, 2020","ARM","arr",-9.83176346737786,-2.87941358583002,1.03069571144012,"estimates_12-19-22"
"2016, 2020","ARM","percent_change_in_mmr",-48.1819226376794,-12.2071529185638,4.03895197026165,"estimates_12-19-22"
"2000, 2015","AUS","arr",0.271723171406259,1.5886974406596,2.76340073682201,"estimates_12-19-22"
"2000, 2015","AUS","percent_change_in_mmr",3.99390096644555,21.2037371551923,33.9336146270446,"estimates_12-19-22"
"2000, 2020","AUS","arr",2.98688362098123,4.09358295496373,5.22909167014925,"estimates_12-19-22"
"2000, 2020","AUS","percent_change_in_mmr",44.9746780473244,55.9002728659959,64.8595864121925,"estimates_12-19-22"
"2010, 2020","AUS","arr",4.15390646770154,6.14261500341099,8.39348719297304,"estimates_12-19-22"
"2010, 2020","AUS","percent_change_in_mmr",33.9917624973488,45.8959693488125,56.8008217940238,"estimates_12-19-22"
"2000, 2005","AUS","arr",4.50251510438173,7.30182671654726,10.5332718072829,"estimates_12-19-22"
"2000, 2005","AUS","percent_change_in_mmr",20.1584191586957,30.5866748367002,40.9427922979773,"estimates_12-19-22"
"2005, 2010","AUS","arr",-6.85187044700141,-3.28293214671663,-0.292226045311609,"estimates_12-19-22"
"2005, 2010","AUS","percent_change_in_mmr",-40.8596083720169,-17.8387069032323,-1.47185756474156,"estimates_12-19-22"
"2010, 2015","AUS","arr",-2.4846856160714,0.818872719842767,3.45293174183713,"estimates_12-19-22"
"2010, 2015","AUS","percent_change_in_mmr",-13.2281116895959,4.011675962211,15.8565063625728,"estimates_12-19-22"
"2015, 2020","AUS","arr",8.10019769477029,11.5933574016598,15.9737309025112,"estimates_12-19-22"
